File Name,Status,Score,Triggered Flags
file_218_System.DirectoryServices.ni.dll,BENIGN,56.8,"F3, F9, F10, F11"
file_219_System.Drawing.ni.dll,BENIGN,56.61,"F3, F9, F10, F11"
file_21_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.85,"F3, F11"
file_220_System.EnterpriseServices.ni.dll,BENIGN,55.96,"F3, F9, F10, F11"
file_221_System.EnterpriseServices.Wrapper.dll,BENIGN,52.28,"F3, F9, F10, F11"
file_222_System.Management.ni.dll,BENIGN,56.75,"F3, F9, F10, F11"
file_223_System.Messaging.ni.dll,BENIGN,56.35,"F3, F9, F10, F11"
file_224_System.Runtime.Remoting.ni.dll,BENIGN,56.74,"F3, F9, F10, F11"
file_225_System.Runtime.Serialization.Formatters.Soap.ni.dll,BENIGN,55.54,"F3, F9, F10, F11"
file_226_System.Security.ni.dll,BENIGN,56.57,"F3, F9, F10, F11"
file_227_System.ServiceProcess.ni.dll,BENIGN,55.39,"F3, F9, F10, F11"
file_228_System.Transactions.ni.dll,BENIGN,54.28,"F3, F9, F10, F11"
file_229_System.Web.ni.dll,BENIGN,57.02,"F3, F9, F10, F11"
file_22_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.92,"F3, F11"
file_230_System.Web.Services.ni.dll,BENIGN,56.17,"F3, F9, F10, F11"
file_231_System.Windows.Forms.ni.dll,BENIGN,56.72,"F3, F9, F10, F11"
file_232_System.Xml.ni.dll,BENIGN,57.29,"F3, F9, F10, F11"
file_233_WindowsBase.ni.dll,BENIGN,56.41,"F3, F9, F10, F11"
file_234_Accessibility.ni.dll,BENIGN,43.41,"F1, F3, F6, F9, F10"
file_235_CustomMarshalers.ni.dll,BENIGN,43.52,"F1, F3, F6, F9, F10"
file_236_Microsoft.Ink.ni.dll,BENIGN,58.32,"F3, F6, F9, F10, F11"
file_237_Microsoft.PowerShell.Commands.Diagnostics.ni.dll,BENIGN,53.53,"F3, F6, F9, F10, F11"
file_238_Microsoft.PowerShell.ConsoleHost.ni.dll,BENIGN,60.5,"F3, F6, F9, F10, F11"
file_239_Microsoft.PowerShell.Commands.Utility.ni.dll,BENIGN,52.68,"F3, F6, F9, F10, F11"
file_23_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.86,"F3, F11"
file_240_Microsoft.PowerShell.Security.ni.dll,BENIGN,52.07,"F3, F6, F9, F10, F11"
file_241_Microsoft.PowerShell.Commands.Management.ni.dll,BENIGN,54.0,"F3, F6, F9, F10, F11"
file_242_Microsoft.VisualBasic.ni.dll,BENIGN,61.45,"F3, F6, F9, F10, F11"
file_243_Microsoft.WSMan.Management.ni.dll,BENIGN,54.61,"F3, F6, F9, F10, F11"
file_244_Microsoft.WSMan.Runtime.ni.dll,BENIGN,35.4,"F1, F6, F9, F10"
file_245_mscorlib.ni.dll,BENIGN,64.08,"F3, F6, F9, F10, F11"
file_246_PresentationCore.ni.dll,BENIGN,63.86,"F3, F6, F9, F10, F11"
file_247_PresentationFramework.ni.dll,BENIGN,61.53,"F3, F6, F9, F10, F11"
file_248_PresentationFramework.Aero.ni.dll,BENIGN,52.83,"F3, F6, F9, F10, F11"
file_249_srmlib.ni.dll,BENIGN,51.08,"F1, F3, F6, F9, F10"
file_24_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.87,"F3, F11"
file_250_System.ni.dll,BENIGN,64.18,"F3, F6, F9, F10, F11"
file_251_System.Configuration.Install.ni.dll,BENIGN,51.37,"F3, F6, F9, F10, F11"
file_252_System.Configuration.ni.dll,BENIGN,53.78,"F3, F6, F9, F10, F11"
file_253_System.Core.ni.dll,BENIGN,59.2,"F3, F6, F9, F10, F11"
file_254_System.Data.ni.dll,BENIGN,64.28,"F3, F6, F9, F10, F11"
file_255_System.DirectoryServices.ni.dll,BENIGN,61.07,"F3, F6, F9, F10, F11"
file_256_System.Drawing.ni.dll,BENIGN,60.24,"F3, F6, F9, F10, F11"
file_257_System.Management.ni.dll,BENIGN,60.9,"F3, F6, F9, F10, F11"
file_258_System.Management.Automation.ni.dll,BENIGN,60.55,"F3, F6, F9, F10, F11"
file_259_System.Runtime.Remoting.ni.dll,BENIGN,54.28,"F3, F6, F9, F10, F11"
file_25_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.86,"F3, F11"
file_260_System.ServiceProcess.ni.dll,BENIGN,58.54,"F3, F6, F9, F10, F11"
file_261_System.Transactions.ni.dll,BENIGN,52.67,"F3, F6, F9, F10, F11"
file_262_System.Web.ni.dll,BENIGN,64.42,"F3, F6, F9, F10, F11"
file_263_System.Web.Services.ni.dll,BENIGN,53.49,"F3, F6, F9, F10, F11"
file_264_System.Windows.Forms.ni.dll,BENIGN,64.02,"F3, F6, F9, F10, F11"
file_265_System.Xml.ni.dll,BENIGN,54.57,"F3, F6, F9, F10, F11"
file_266_WindowsBase.ni.dll,BENIGN,59.69,"F3, F6, F9, F10, F11"
